# BNS Attribute Value vs Rate Data
# Author: dbnryanc92
# Attribute: Attack Hit (功力 / attackhit)
# Attribute level: 60
# Date: Oct 27, 2019
attackhitValue,attackhitRate
0,1
322,1.076
472,1.1101
692,1.1586
848,1.192
926,1.2084
1076,1.2394
1225,1.2695
1303,1.285
1381,1.3003
1459,1.3154
1561,1.3349
1695,1.3601
1787,1.3771
1879,1.3939
1971,1.4105
2063,1.4268
2234,1.4566
2405,1.4857
2576,1.5142
2728,1.5389
2876,1.5625
3022,1.5853
3077,1.5938
3223,1.616
3412,1.6441
3558,1.6654
3742,1.6916
3888,1.712
4072,1.7371
4218,1.7567
4352,1.7743
4498,1.7932
4648,1.8123
4822,1.834
4968,1.8519
5190,1.8784
5361,1.8985
5529,1.9177
5675,1.9342
5843,1.9528
5935,1.9628
6106,1.9812
6274,1.9989
6420,2.0141
6520,2.0243
6806,2.053
6928,2.065
7164,2.0877
7220,2.093
7506,2.1196
7610,2.1291
7850,2.1506
8270,2.1871
8606,2.2152
9118,2.2563
10422,2.3524
