# BNS Attribute Value vs Rate Data
# Author: dbnryanc92
# Attribute: Critical (暴擊 / crit)
# Attribute level: 60
# Date: Oct 29, 2019
critValue,critRate
0,0.0000
1599,0.1626
2096,0.2026
2402,0.2253
3026,0.2677
3701,0.3085
4235,0.3375
4313,0.3415
4712,0.3613
4894,0.3700
5114,0.3801
5551,0.3992
5960,0.4160
6397,0.4329
6703,0.4441
6953,0.4529
7041,0.4560
7478,0.4705
7797,0.4807
8234,0.4939
8540,0.5027
8927,0.5135
9364,0.5250
9670,0.5327
9857,0.5373
10163,0.5446
10600,0.5547
10875,0.5607
11312,0.5700
11618,0.5763
11849,0.5809
12286,0.5893
12592,0.5950
13024,0.6027
13461,0.6102
13767,0.6153
13996,0.6190
14178,0.6219
14398,0.6253
14835,0.6319
15141,0.6364
15607,0.6430
16044,0.6489
16350,0.6530
16753,0.6582
17190,0.6636
17571,0.6682
17877,0.6717
18098,0.6743
18255,0.6760
18412,0.6778
18907,0.6832
19344,0.6878
19564,0.6900
