# BNS Attribute Value vs Rate Data
# Author: dbnryanc92
# Attribute: Critical Damage (暴擊傷害 / critdmg)
# Attribute level: 60
# Date: Oct 29, 2019
critdmgValue,critdmgRate
0,1.25
95,1.2879
130,1.3016
190,1.3248
235,1.342
285,1.3608
340,1.3812
370,1.3922
480,1.4318
600,1.4738
710,1.5112
757,1.5268
880,1.5669
1014,1.6092
1138,1.6471
1262,1.6839
1386,1.7197
1557,1.7673
1728,1.8131
1899,1.8572
2070,1.8997
2241,1.9406
2404,1.9783
2578,2.0171
2702,2.044
2826,2.0701
2950,2.0957
3074,2.1206
3198,2.1449
3314,2.1671
3431,2.189
3602,2.2202
3726,2.2423
3850,2.2638
3974,2.2848
4098,2.3054
4222,2.3255
4338,2.344
4563,2.3787
4692,2.398
4816,2.4162
4940,2.434
5188,2.4686
5483,2.5079
5825,2.5513
5988,2.5712
6306,2.6086
6601,2.6417
6896,2.6735
7191,2.704
7315,2.7164
7555,2.7399
7829,2.7658
8163,2.7961
8336,2.8113
8631,2.8364
8926,2.8606
9221,2.8839
9508,2.9059
9730,2.9223
10030,2.9439
10325,2.9643
10620,2.9841
10915,3.0033
11202,3.0213
11558,3.0429
11853,3.0602
12140,3.0765
12420,3.092
12715,3.1078
12878,3.1164
13175,3.1316
13338,3.1397
13725,3.1586
13888,3.1663
14346,3.1875
14746,3.2052
14967,3.2147
15302,3.2288
16152,3.2627
